# Auto-École Manager
# Généré le 12/12/2025 à 00:11
# Fichier test avec 100 élèves fictifs
#
id,full_name,cin,date_of_birth,age,phone,email,address,registration_date,status,license_type,theoretical_exam_passed,practical_exam_passed,theoretical_exam_attempts,practical_exam_attempts,total_paid,total_due,balance,is_solvent,hours_completed,hours_planned,completion_rate,emergency_contact_name,emergency_contact_phone,notes,created_at
20,Adil Ghali,DS107035,1985-06-03,40,+212 648-610149,adil.ghali10@email.com,"Tétouan, Centre",2024-03-31,diplome,B,1,1,0,2,4500.00,4500.00,0.00,True,31,35,88.6,,,,2024-03-31T00:11:31.747876
21,Dounia Zeroual,FF603468,2001-12-02,24,+212 622-237298,dounia.zeroual48@email.com,"Oujda, Hay Qods",2025-09-07,diplome,A,1,1,0,0,6000.00,6000.00,0.00,True,15,25,60.0,,,Besoin de plus de pratique,2025-09-07T00:11:31.747876
22,Aicha Saadi,NG350255,1985-01-07,40,+212 686-586570,aicha.saadi5@email.com,"Tanger, Malabata",2024-05-28,diplome,C,1,1,2,1,5500.00,5500.00,0.00,True,14,40,35.0,Contact Saadi,+212 664-306994,,2024-05-28T00:11:31.747876
23,Latifa Karim,DH706265,1991-07-07,34,+212 655-991553,latifa.karim3@email.com,"Kenitra, Centre",2025-10-03,diplome,B,1,1,3,2,4500.00,4500.00,0.00,True,15,25,60.0,Contact Karim,+212 680-905603,,2025-10-03T00:11:31.747876
24,Rachid Lazaar,ME410080,1983-06-25,42,+212 686-895877,rachid.lazaar92@email.com,"Rabat, Agdal",2024-11-09,en_attente,A,0,0,0,0,779.00,5500.00,-4721.00,False,0,20,0.0,Contact Lazaar,+212 628-924096,,2024-11-09T00:11:31.747876
25,Fatima Jilali,CS918274,1992-04-07,33,+212 635-786309,fatima.jilali3@email.com,"Agadir, Talborjt",2024-10-12,diplome,A,1,1,3,0,5500.00,5500.00,0.00,True,1,35,2.9,,,,2024-10-12T00:11:31.747876
26,Mouad Saadi,II394862,1993-09-26,32,+212 656-670658,mouad.saadi12@email.com,"Kenitra, Centre",2025-09-15,en_attente,C,0,0,0,0,350.00,6500.00,-6150.00,False,0,35,0.0,Contact Saadi,+212 619-504945,Très motivé,2025-09-15T00:11:31.747876
27,Samira Benali,VG314674,1987-06-15,38,+212 643-148139,samira.benali12@email.com,"El Jadida, Centre",2024-01-18,diplome,C,1,1,3,0,5500.00,5500.00,0.00,True,0,30,0.0,,,Besoin de plus de pratique,2024-01-18T00:11:31.747876
28,Sanaa Jilali,PV512517,2000-02-10,25,+212 648-883977,sanaa.jilali57@email.com,"Tanger, Malabata",2025-03-18,actif,A,1,0,1,0,3027.00,6500.00,-3473.00,False,6,35,17.1,,,Très motivé,2025-03-18T00:11:31.747876
29,Meryem Jamal,VH817655,1982-08-27,43,+212 625-665254,meryem.jamal56@email.com,"Kenitra, Centre",2025-08-28,en_attente,C,0,0,0,0,878.00,5000.00,-4122.00,False,0,20,0.0,Contact Jamal,+212 647-948295,Très motivé,2025-08-28T00:11:31.747876
30,Hanane Nadir,JP160076,1992-10-09,33,+212 682-763420,hanane.nadir17@email.com,"El Jadida, Centre",2024-12-26,en_attente,C,0,0,0,0,627.00,6000.00,-5373.00,False,0,40,0.0,Contact Nadir,+212 678-266413,Bon élève,2024-12-26T00:11:31.747876
31,Othman Amrani,UD109827,1991-05-24,34,+212 682-190384,othman.amrani70@email.com,"Agadir, Talborjt",2024-06-22,actif,B,1,0,0,0,2577.00,6500.00,-3923.00,False,3,25,12.0,,,,2024-06-22T00:11:31.747876
32,Amine Tazi,NO522285,1980-01-15,45,+212 644-818752,amine.tazi83@email.com,"Agadir, Talborjt",2025-07-28,suspendu,C,0,0,0,0,728.00,5000.00,-4272.00,False,21,30,70.0,,,Besoin de plus de pratique,2025-07-28T00:11:31.747876
33,Walid Alaoui,JM260394,1990-07-02,35,+212 619-992153,walid.alaoui81@email.com,"Fès, Ville Nouvelle",2024-04-16,diplome,B,1,1,0,1,6500.00,6500.00,0.00,True,25,35,71.4,,,,2024-04-16T00:11:31.747876
34,Hassan Chraibi,HL850491,1992-11-04,33,+212 689-887125,hassan.chraibi80@email.com,"Fès, Medina",2024-05-05,diplome,C,1,1,3,0,6000.00,6000.00,0.00,True,14,20,70.0,Contact Chraibi,+212 667-259123,Bon élève,2024-05-05T00:11:31.747876
35,Fatima Chraibi,RU505317,2001-09-11,24,+212 616-605896,fatima.chraibi49@email.com,"Agadir, Talborjt",2023-12-13,en_attente,C,0,0,0,0,969.00,6000.00,-5031.00,False,0,40,0.0,,,Besoin de plus de pratique,2023-12-13T00:11:31.747876
36,Rachid Lazaar,EG921792,1990-10-07,35,+212 632-357879,rachid.lazaar40@email.com,"Casablanca, Ain Diab",2024-11-16,actif,C,1,0,1,0,2165.00,4500.00,-2335.00,False,1,20,5.0,Contact Lazaar,+212 652-758590,Bon élève,2024-11-16T00:11:31.747876
37,Zakaria Jamal,HA376482,1994-05-14,31,+212 699-853521,zakaria.jamal25@email.com,"Rabat, Souissi",2024-05-08,diplome,B,1,1,3,2,6000.00,6000.00,0.00,True,24,30,80.0,,,,2024-05-08T00:11:31.747876
38,Dounia Elhajjami,VV343725,1982-01-30,43,+212 624-742801,dounia.elhajjami39@email.com,"Fès, Zouagha",2024-08-09,en_attente,A,0,0,0,0,991.00,5500.00,-4509.00,False,0,25,0.0,Contact Elhajjami,+212 604-695192,Bon élève,2024-08-09T00:11:31.747876
39,Sara Dahbi,JA497006,1985-11-15,40,+212 643-998118,sara.dahbi88@email.com,"Rabat, Hay Riad",2024-02-07,actif,A,1,0,1,0,2533.00,6500.00,-3967.00,False,29,30,96.7,,,,2024-02-07T00:11:31.747876
40,Khalid Raji,HR855048,2005-07-24,20,+212 611-804629,khalid.raji50@email.com,"Rabat, Hassan",2024-12-05,en_attente,B,0,0,0,0,14.00,5000.00,-4986.00,False,0,25,0.0,Contact Raji,+212 669-587783,Très motivé,2024-12-05T00:11:31.747876
41,Ayoub Elghazi,DN545164,1985-09-04,40,+212 648-732091,ayoub.elghazi12@email.com,"Tanger, Malabata",2024-12-01,actif,C,0,0,0,0,2494.00,4500.00,-2006.00,False,19,40,47.5,,,,2024-12-01T00:11:31.747876
42,Rachid Fassi,BP839774,2007-09-30,18,+212 631-769467,rachid.fassi36@email.com,"Agadir, Talborjt",2025-07-15,en_attente,B,0,0,0,0,88.00,4500.00,-4412.00,False,0,30,0.0,Contact Fassi,+212 681-169519,,2025-07-15T00:11:31.747876
43,Ismail Wahbi,AX929005,1993-11-17,32,+212 634-926615,ismail.wahbi10@email.com,"Tétouan, Centre",2024-11-18,suspendu,A,0,0,0,0,1972.00,5000.00,-3028.00,False,24,35,68.6,,,,2024-11-18T00:11:31.747876
44,Aicha Lazaar,FP733467,2005-08-09,20,+212 647-829188,aicha.lazaar84@email.com,"Salé, Centre",2025-08-16,diplome,A,1,1,1,1,5500.00,5500.00,0.00,True,16,20,80.0,,,Très motivé,2025-08-16T00:11:31.747876
45,Mohammed Alaoui,NE764691,1991-01-05,34,+212 691-451576,mohammed.alaoui31@email.com,"Fès, Zouagha",2025-04-11,suspendu,A,0,0,0,0,392.00,6000.00,-5608.00,False,30,30,100.0,,,Bon élève,2025-04-11T00:11:31.747876
46,Malika Ghali,QN870954,1981-05-20,44,+212 689-756292,malika.ghali20@email.com,"Casablanca, Anfa",2025-10-25,en_attente,A,0,0,0,0,33.00,6000.00,-5967.00,False,0,40,0.0,,,Bon élève,2025-10-25T00:11:31.747876
47,Ismail Karim,AI491843,2004-06-24,21,+212 691-530126,ismail.karim16@email.com,"Mohammedia, Centre",2024-06-01,suspendu,A,0,0,0,0,1021.00,6000.00,-4979.00,False,15,30,50.0,,,,2024-06-01T00:11:31.747876
48,Adil Tazi,BT808109,1987-06-27,38,+212 670-389248,adil.tazi58@email.com,"Oujda, Hay Qods",2025-03-08,diplome,B,1,1,0,1,5000.00,5000.00,0.00,True,32,35,91.4,Contact Tazi,+212 649-915537,,2025-03-08T00:11:31.747876
49,Othman Jamal,MA671113,2006-06-05,19,+212 690-831422,othman.jamal34@email.com,"Tétouan, Centre",2024-01-24,actif,B,1,0,3,0,3588.00,5500.00,-1912.00,False,29,40,72.5,,,Très motivé,2024-01-24T00:11:31.747876
50,Ayoub Hamdaoui,FA500612,2000-05-12,25,+212 648-480828,ayoub.hamdaoui7@email.com,"Rabat, Agdal",2024-01-05,suspendu,A,0,0,0,0,846.00,5000.00,-4154.00,False,2,20,10.0,,,Besoin de plus de pratique,2024-01-05T00:11:31.747876
51,Sanaa Zeroual,MT896514,2006-10-14,19,+212 661-735515,sanaa.zeroual10@email.com,"Kenitra, Centre",2024-10-04,actif,B,0,0,3,0,3285.00,5500.00,-2215.00,False,14,40,35.0,,,Très motivé,2024-10-04T00:11:31.747876
52,Zahra Nadir,SR342348,1989-09-24,36,+212 643-202297,zahra.nadir48@email.com,"Mohammedia, Centre",2024-01-19,en_attente,C,0,0,0,0,1039.00,6500.00,-5461.00,False,0,40,0.0,,,Très motivé,2024-01-19T00:11:31.747876
53,Aicha Alaoui,RQ779114,1987-04-18,38,+212 624-147694,aicha.alaoui28@email.com,"Tétouan, Centre",2024-12-07,suspendu,C,0,0,0,0,1305.00,5000.00,-3695.00,False,15,20,75.0,,,,2024-12-07T00:11:31.747876
54,Khadija Tazi,VW782362,1988-09-21,37,+212 609-974988,khadija.tazi3@email.com,"El Jadida, Centre",2024-03-01,suspendu,A,0,0,0,0,1995.00,5000.00,-3005.00,False,3,35,8.6,Contact Tazi,+212 603-770108,Très motivé,2024-03-01T00:11:31.747876
55,Nabil Jilali,IB288930,1982-01-27,43,+212 684-385435,nabil.jilali38@email.com,"Agadir, Secteur Touristique",2023-12-21,actif,A,0,0,3,0,3769.00,6000.00,-2231.00,False,19,30,63.3,Contact Jilali,+212 652-427705,,2023-12-21T00:11:31.747876
56,Samira Nadir,IY462857,1994-11-14,31,+212 643-314678,samira.nadir53@email.com,"Rabat, Ocean",2024-12-11,diplome,A,1,1,1,0,6500.00,6500.00,0.00,True,16,20,80.0,Contact Nadir,+212 644-764921,,2024-12-11T00:11:31.747876
57,Sanaa Fassi,RV456453,1990-10-14,35,+212 640-769011,sanaa.fassi85@email.com,"Agadir, Secteur Touristique",2024-12-07,en_attente,B,0,0,0,0,370.00,5000.00,-4630.00,False,0,25,0.0,,,,2024-12-07T00:11:31.747876
58,Amine Jamal,SW976476,1996-08-31,29,+212 689-609494,amine.jamal24@email.com,"Casablanca, Ain Diab",2024-04-21,en_attente,C,0,0,0,0,742.00,6500.00,-5758.00,False,0,20,0.0,,,,2024-04-21T00:11:31.747876
59,Zineb Bennani,ZX480190,1983-06-30,42,+212 648-539023,zineb.bennani7@email.com,"Temara, Centre",2025-04-22,en_attente,C,0,0,0,0,503.00,6000.00,-5497.00,False,0,25,0.0,,,Besoin de plus de pratique,2025-04-22T00:11:31.747876
60,Karim Karim,DD402045,1990-02-16,35,+212 638-282632,karim.karim18@email.com,"Meknès, Hamria",2024-08-10,suspendu,A,0,0,0,0,1605.00,5500.00,-3895.00,False,15,30,50.0,,,,2024-08-10T00:11:31.747876
61,Adil Saadi,QG637007,1997-11-21,28,+212 641-648475,adil.saadi37@email.com,"Kenitra, Centre",2024-04-12,actif,B,1,0,1,0,3841.00,5500.00,-1659.00,False,13,20,65.0,Contact Saadi,+212 693-828392,,2024-04-12T00:11:31.747876
62,Othman Chraibi,DJ602265,2007-10-16,18,+212 691-417851,othman.chraibi45@email.com,"Tanger, Malabata",2025-11-10,en_attente,B,0,0,0,0,888.00,5500.00,-4612.00,False,0,25,0.0,,,Bon élève,2025-11-10T00:11:31.747876
63,Zakaria Filali,QR836175,1990-11-17,35,+212 658-204839,zakaria.filali1@email.com,"Agadir, Centre Ville",2024-04-09,en_attente,C,0,0,0,0,306.00,6500.00,-6194.00,False,0,20,0.0,,,,2024-04-09T00:11:31.747876
64,Yasmine Idrissi,FU211278,2001-06-12,24,+212 620-430604,yasmine.idrissi84@email.com,"Mohammedia, Centre",2025-07-18,diplome,B,1,1,0,2,5500.00,5500.00,0.00,True,16,20,80.0,,,,2025-07-18T00:11:31.747876
65,Hanane Nadir,FB646690,1991-02-14,34,+212 651-941962,hanane.nadir21@email.com,"Agadir, Secteur Touristique",2025-09-19,actif,C,0,0,2,0,2132.00,5500.00,-3368.00,False,24,35,68.6,,,,2025-09-19T00:11:31.747876
66,Omar Mansouri,HE776843,2001-12-03,24,+212 644-890674,omar.mansouri69@email.com,"Temara, Centre",2025-11-05,suspendu,C,0,0,0,0,149.00,4500.00,-4351.00,False,8,30,26.7,Contact Mansouri,+212 697-767518,Très motivé,2025-11-05T00:11:31.747876
67,Ismail Alaoui,TT216787,1984-02-13,41,+212 622-120155,ismail.alaoui81@email.com,"Kenitra, Centre",2024-05-14,actif,B,0,0,3,0,5657.00,6000.00,-343.00,False,24,30,80.0,Contact Alaoui,+212 601-623442,,2024-05-14T00:11:31.747876
68,Yasmine Elhajjami,DN857467,1995-07-20,30,+212 689-840856,yasmine.elhajjami14@email.com,"El Jadida, Centre",2025-06-24,diplome,C,1,1,0,2,5500.00,5500.00,0.00,True,19,25,76.0,Contact Elhajjami,+212 658-973182,,2025-06-24T00:11:31.747876
69,Nabil Zeroual,MM914521,2007-03-15,18,+212 615-125165,nabil.zeroual16@email.com,"Mohammedia, Centre",2025-03-26,actif,A,0,0,1,0,2909.00,4500.00,-1591.00,False,18,30,60.0,Contact Zeroual,+212 623-782700,,2025-03-26T00:11:31.747876
70,Hanane Hamdaoui,GZ916635,1983-08-12,42,+212 616-592724,hanane.hamdaoui96@email.com,"Agadir, Centre Ville",2025-02-10,actif,B,1,0,2,0,3527.00,6500.00,-2973.00,False,13,40,32.5,Contact Hamdaoui,+212 695-990049,,2025-02-10T00:11:31.747876
71,Salma Benali,TR800361,1999-10-10,26,+212 650-981038,salma.benali28@email.com,"Agadir, Centre Ville",2025-09-02,actif,A,0,0,3,0,5391.00,6500.00,-1109.00,False,27,40,67.5,Contact Benali,+212 656-741540,,2025-09-02T00:11:31.747876
72,Sanaa Hassani,KI544038,1994-10-18,31,+212 629-917145,sanaa.hassani28@email.com,"Tanger, Malabata",2025-03-17,suspendu,A,0,0,0,0,1214.00,5000.00,-3786.00,False,29,30,96.7,Contact Hassani,+212 688-847038,,2025-03-17T00:11:31.747876
73,Youssef Benjelloun,JE193449,2002-04-05,23,+212 686-222446,youssef.benjelloun7@email.com,"Tanger, Boukhalef",2024-02-21,en_attente,A,0,0,0,0,762.00,6000.00,-5238.00,False,0,25,0.0,Contact Benjelloun,+212 614-490831,,2024-02-21T00:11:31.747876
74,Walid Wahbi,UQ193088,1980-08-05,45,+212 612-928080,walid.wahbi59@email.com,"Tanger, Malabata",2024-09-20,en_attente,B,0,0,0,0,203.00,5000.00,-4797.00,False,0,20,0.0,,,,2024-09-20T00:11:31.747876
75,Youssef Lazaar,EC459032,1996-06-25,29,+212 640-874503,youssef.lazaar50@email.com,"Mohammedia, Centre",2024-10-05,actif,C,0,0,3,0,2776.00,4500.00,-1724.00,False,17,35,48.6,,,,2024-10-05T00:11:31.747876
76,Houda Alaoui,EL791772,1985-04-29,40,+212 689-225647,houda.alaoui54@email.com,"Salé, Centre",2025-11-05,en_attente,C,0,0,0,0,1167.00,6500.00,-5333.00,False,0,40,0.0,,,,2025-11-05T00:11:31.747876
77,Fatima Ghali,TM119884,2007-08-18,18,+212 658-346447,fatima.ghali26@email.com,"Casablanca, Sidi Moumen",2024-09-06,actif,C,0,0,0,0,4030.00,4500.00,-470.00,False,27,40,67.5,Contact Ghali,+212 639-188683,Très motivé,2024-09-06T00:11:31.747876
78,Zineb Hassani,KW643158,1989-01-05,36,+212 619-893564,zineb.hassani56@email.com,"Marrakech, Medina",2024-12-24,diplome,B,1,1,2,1,6500.00,6500.00,0.00,True,33,40,82.5,,,Très motivé,2024-12-24T00:11:31.747876
79,Walid Filali,RX184496,2000-10-25,25,+212 667-247618,walid.filali39@email.com,"Oujda, Centre",2025-06-12,actif,C,1,0,2,0,2801.00,5000.00,-2199.00,False,9,40,22.5,,,,2025-06-12T00:11:31.747876
80,Zahra Elhajjami,KY708127,1996-09-09,29,+212 689-425022,zahra.elhajjami78@email.com,"Meknès, Zitoune",2024-07-15,suspendu,B,0,0,0,0,1571.00,5500.00,-3929.00,False,1,35,2.9,Contact Elhajjami,+212 633-317433,,2024-07-15T00:11:31.747876
81,Khadija Idrissi,LO928271,2002-08-14,23,+212 690-235801,khadija.idrissi30@email.com,"Tanger, Malabata",2024-03-22,actif,A,1,0,0,0,3152.00,5500.00,-2348.00,False,29,40,72.5,Contact Idrissi,+212 691-544183,,2024-03-22T00:11:31.747876
82,Yasmine Chraibi,ZS738699,2002-05-09,23,+212 639-458119,yasmine.chraibi99@email.com,"Tétouan, Centre",2025-08-16,actif,A,1,0,2,0,4439.00,5500.00,-1061.00,False,5,20,25.0,,,Bon élève,2025-08-16T00:11:31.747876
83,Dounia Berrada,HS258538,1980-04-20,45,+212 655-478514,dounia.berrada48@email.com,"Salé, Centre",2024-09-17,actif,C,0,0,3,0,5053.00,5500.00,-447.00,False,5,25,20.0,Contact Berrada,+212 645-761274,,2024-09-17T00:11:31.747876
84,Ayoub Bennani,RI662095,1986-12-02,39,+212 606-127854,ayoub.bennani40@email.com,"Tanger, Centre Ville",2025-07-28,diplome,A,1,1,1,1,5500.00,5500.00,0.00,True,6,25,24.0,,,Bon élève,2025-07-28T00:11:31.747876
85,Adil Tazi,FO692361,2000-06-28,25,+212 677-514056,adil.tazi5@email.com,"Rabat, Hay Riad",2024-07-15,actif,B,0,0,0,0,4162.00,6000.00,-1838.00,False,31,40,77.5,Contact Tazi,+212 649-929568,Besoin de plus de pratique,2024-07-15T00:11:31.747876
86,Sara Ghali,TU915482,2007-10-24,18,+212 693-307143,sara.ghali92@email.com,"Casablanca, Ain Diab",2025-02-18,suspendu,C,0,0,0,0,1681.00,5500.00,-3819.00,False,2,20,10.0,,,,2025-02-18T00:11:31.747876
87,Mehdi Amrani,OG771594,2007-11-21,18,+212 667-622012,mehdi.amrani75@email.com,"Rabat, Hassan",2025-01-20,suspendu,C,0,0,0,0,1519.00,4500.00,-2981.00,False,28,40,70.0,Contact Amrani,+212 663-665230,,2025-01-20T00:11:31.747876
88,Walid Amrani,OZ335639,1995-09-14,30,+212 641-481229,walid.amrani13@email.com,"Kenitra, Centre",2025-09-10,suspendu,C,0,0,0,0,87.00,4500.00,-4413.00,False,18,20,90.0,Contact Amrani,+212 665-684649,,2025-09-10T00:11:31.747876
89,Hassan Hamdaoui,YO993786,2004-06-06,21,+212 692-630701,hassan.hamdaoui66@email.com,"Salé, Centre",2025-05-11,diplome,B,1,1,0,0,4500.00,4500.00,0.00,True,20,30,66.7,,,Bon élève,2025-05-11T00:11:31.747876
90,Karima Amrani,QJ280270,1981-03-03,44,+212 656-380342,karima.amrani30@email.com,"Tanger, Boukhalef",2024-05-31,actif,C,1,0,3,0,2981.00,4500.00,-1519.00,False,30,35,85.7,Contact Amrani,+212 609-541831,,2024-05-31T00:11:31.747876
91,Houda Dahbi,YP656294,1982-12-18,43,+212 698-440584,houda.dahbi71@email.com,"Kenitra, Centre",2024-11-11,en_attente,A,0,0,0,0,868.00,6000.00,-5132.00,False,0,30,0.0,Contact Dahbi,+212 692-420387,,2024-11-11T00:11:31.747876
92,Rachid Raji,ZY360646,1985-12-03,40,+212 682-291344,rachid.raji82@email.com,"Salé, Centre",2024-09-15,en_attente,C,0,0,0,0,497.00,4500.00,-4003.00,False,0,30,0.0,Contact Raji,+212 697-536021,,2024-09-15T00:11:31.747876
93,Zineb Karim,CY795202,1984-07-25,41,+212 670-580937,zineb.karim46@email.com,"Casablanca, Anfa",2025-10-18,suspendu,B,0,0,0,0,1498.00,6000.00,-4502.00,False,2,30,6.7,Contact Karim,+212 677-632690,,2025-10-18T00:11:31.747876
94,Samira Fassi,JC148079,1987-05-29,38,+212 663-423498,samira.fassi96@email.com,"Casablanca, Sidi Moumen",2024-07-07,en_attente,A,0,0,0,0,832.00,5000.00,-4168.00,False,0,25,0.0,Contact Fassi,+212 646-984094,Très motivé,2024-07-07T00:11:31.747876
95,Adil Elhajjami,YA665753,2001-06-20,24,+212 626-749660,adil.elhajjami50@email.com,"Temara, Centre",2025-04-21,suspendu,C,0,0,0,0,2615.00,5500.00,-2885.00,False,25,40,62.5,Contact Elhajjami,+212 696-119724,Bon élève,2025-04-21T00:11:31.747876
96,Aicha Filali,BS293655,2002-12-24,22,+212 660-554297,aicha.filali47@email.com,"Casablanca, Hay Hassani",2025-02-09,en_attente,A,0,0,0,0,1000.00,5000.00,-4000.00,False,0,25,0.0,Contact Filali,+212 618-325995,,2025-02-09T00:11:31.747876
97,Amina Filali,NQ960326,2004-12-02,21,+212 665-823596,amina.filali92@email.com,"Rabat, Hay Riad",2025-01-23,diplome,C,1,1,0,0,6000.00,6000.00,0.00,True,24,40,60.0,Contact Filali,+212 663-998595,Bon élève,2025-01-23T00:11:31.747876
98,Nabil Berrada,WZ548935,1983-07-15,42,+212 688-403577,nabil.berrada6@email.com,"El Jadida, Centre",2024-06-25,actif,B,0,0,1,0,4851.00,5000.00,-149.00,False,10,30,33.3,Contact Berrada,+212 662-522727,,2024-06-25T00:11:31.747876
99,Yasmine Hamdaoui,YY809819,1984-02-19,41,+212 671-746797,yasmine.hamdaoui72@email.com,"Salé, Centre",2024-03-24,en_attente,C,0,0,0,0,292.00,5500.00,-5208.00,False,0,30,0.0,Contact Hamdaoui,+212 682-700271,Bon élève,2024-03-24T00:11:31.747876
100,Zahra Karim,TV444409,2003-04-18,22,+212 683-512388,zahra.karim41@email.com,"Mohammedia, Centre",2025-07-04,suspendu,C,0,0,0,0,1778.00,5500.00,-3722.00,False,32,35,91.4,,,,2025-07-04T00:11:31.747876
